"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate	Age Adjusted Rate	Age Adjusted Rate Lower 95% Confidence Interval	Age Adjusted Rate Upper 95% Confidence Interval	Age Adjusted Rate Standard Error
	"Autauga County, AL"	"01001"	53	275247	19.26	18.53	13.84	24.30	2.58
	"Baldwin County, AL"	"01003"	207	997548	20.75	20.36	17.50	23.23	1.46
	"Barbour County, AL"	"01005"	16	133068	12.02 (Unreliable)	11.30 (Unreliable)	6.33	18.64	2.88
	"Bibb County, AL"	"01007"	20	112861	17.72	17.99	10.99	27.79	4.07
	"Blount County, AL"	"01009"	52	288519	18.02	17.53	12.97	23.18	2.50
	"Bullock County, AL"	"01011"	Suppressed	52759	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Butler County, AL"	"01013"	17	101402	16.76 (Unreliable)	15.25 (Unreliable)	8.72	24.76	3.84
	"Calhoun County, AL"	"01015"	107	579416	18.47	17.58	14.17	20.99	1.74
	"Chambers County, AL"	"01017"	39	170089	22.93	24.17	17.02	33.31	3.99
	"Cherokee County, AL"	"01019"	27	129486	20.85	21.06	13.63	31.09	4.25
	"Chilton County, AL"	"01021"	36	219086	16.43	16.01	11.09	22.38	2.74
	"Choctaw County, AL"	"01023"	Suppressed	66437	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Clarke County, AL"	"01025"	22	124233	17.71	17.48	10.82	26.72	3.86
	"Clay County, AL"	"01027"	12	67415	17.80 (Unreliable)	16.84 (Unreliable)	8.41	30.13	5.04
	"Cleburne County, AL"	"01029"	13	74955	17.34 (Unreliable)	14.58 (Unreliable)	7.53	25.46	4.21
	"Coffee County, AL"	"01031"	44	254955	17.26	17.23	12.42	23.29	2.65
	"Colbert County, AL"	"01033"	40	271887	14.71	13.86	9.76	19.11	2.27
	"Conecuh County, AL"	"01035"	11	63486	17.33 (Unreliable)	17.14 (Unreliable)	8.22	31.52	5.51
	"Coosa County, AL"	"01037"	12	54321	22.09 (Unreliable)	20.19 (Unreliable)	9.68	37.13	6.29
	"Covington County, AL"	"01039"	22	188646	11.66	10.50	6.32	16.40	2.38
	"Crenshaw County, AL"	"01041"	10	69481	14.39 (Unreliable)	14.56 (Unreliable)	6.66	27.64	4.81
	"Cullman County, AL"	"01043"	79	406578	19.43	19.16	15.07	24.02	2.22
	"Dale County, AL"	"01045"	30	248034	12.10	11.95	8.00	17.16	2.23
	"Dallas County, AL"	"01047"	18	207131	8.69 (Unreliable)	7.99 (Unreliable)	4.56	12.97	1.97
	"DeKalb County, AL"	"01049"	56	354686	15.79	16.49	12.39	21.52	2.24
	"Elmore County, AL"	"01051"	74	404783	18.28	17.33	13.56	21.82	2.05
	"Escambia County, AL"	"01053"	30	189373	15.84	14.59	9.77	20.95	2.73
	"Etowah County, AL"	"01055"	76	516813	14.71	14.49	11.33	18.24	1.71
	"Fayette County, AL"	"01057"	21	83914	25.03	23.66	14.24	36.94	5.44
	"Franklin County, AL"	"01059"	30	157867	19.00	19.00	12.73	27.29	3.53
	"Geneva County, AL"	"01061"	19	133823	14.20 (Unreliable)	13.58 (Unreliable)	7.91	21.74	3.27
	"Greene County, AL"	"01063"	Suppressed	42936	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Hale County, AL"	"01065"	Suppressed	75794	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Henry County, AL"	"01067"	13	85936	15.13 (Unreliable)	13.33 (Unreliable)	6.89	23.29	3.88
	"Houston County, AL"	"01069"	69	519454	13.28	13.50	10.44	17.18	1.66
	"Jackson County, AL"	"01071"	63	263042	23.95	22.41	17.06	28.91	2.93
	"Jefferson County, AL"	"01073"	429	3295478	13.02	12.59	11.38	13.81	0.62
	"Lamar County, AL"	"01075"	Suppressed	70331	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Lauderdale County, AL"	"01077"	66	463207	14.25	12.60	9.64	16.18	1.62
	"Lawrence County, AL"	"01079"	31	167167	18.54	18.59	12.45	26.70	3.44
	"Lee County, AL"	"01081"	94	769735	12.21	12.29	9.84	15.16	1.31
	"Limestone County, AL"	"01083"	62	451287	13.74	13.16	10.04	16.94	1.70
	"Lowndes County, AL"	"01085"	Suppressed	52824	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Macon County, AL"	"01087"	11	98420	11.18 (Unreliable)	11.50 (Unreliable)	5.26	21.83	3.80
	"Madison County, AL"	"01089"	282	1749867	16.12	15.38	13.55	17.21	0.93
	"Marengo County, AL"	"01091"	11	100330	10.96 (Unreliable)	12.04 (Unreliable)	5.77	22.14	3.73
	"Marion County, AL"	"01093"	28	151196	18.52	17.07	11.15	25.01	3.37
	"Marshall County, AL"	"01095"	84	472670	17.77	17.33	13.76	21.54	1.93
	"Mobile County, AL"	"01097"	319	2071456	15.40	15.31	13.59	17.03	0.88
	"Monroe County, AL"	"01099"	13	109876	11.83 (Unreliable)	11.22 (Unreliable)	5.80	19.59	3.22
	"Montgomery County, AL"	"01101"	129	1136959	11.35	11.03	9.09	12.96	0.99
	"Morgan County, AL"	"01103"	102	597776	17.06	16.76	13.45	20.08	1.69
	"Perry County, AL"	"01105"	Suppressed	49278	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Pickens County, AL"	"01107"	10	100212	9.98 (Unreliable)	9.01 (Unreliable)	4.12	17.10	2.95
	"Pike County, AL"	"01109"	24	166387	14.42	13.93	8.62	21.29	3.02
	"Randolph County, AL"	"01111"	25	113075	22.11	21.07	13.36	31.62	4.40
	"Russell County, AL"	"01113"	43	293178	14.67	14.07	10.14	19.01	2.18
	"St. Clair County, AL"	"01115"	83	432880	19.17	18.40	14.59	22.90	2.06
	"Shelby County, AL"	"01117"	145	1029753	14.08	13.78	11.50	16.05	1.16
	"Sumter County, AL"	"01119"	Suppressed	66424	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Talladega County, AL"	"01121"	73	405286	18.01	17.71	13.78	22.41	2.13
	"Tallapoosa County, AL"	"01123"	30	204792	14.65	15.22	10.03	22.14	2.91
	"Tuscaloosa County, AL"	"01125"	104	1012356	10.27	10.65	8.55	12.74	1.07
	"Walker County, AL"	"01127"	75	327967	22.87	21.66	16.89	27.37	2.60
	"Washington County, AL"	"01129"	19	84544	22.47 (Unreliable)	21.99 (Unreliable)	12.81	35.21	5.27
	"Wilcox County, AL"	"01131"	Suppressed	55593	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Winston County, AL"	"01133"	21	120063	17.49	18.83	11.50	29.08	4.24
	"Aleutians East Borough, AK"	"02013"	Suppressed	16496	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Aleutians West Census Area, AK"	"02016"	Suppressed	28569	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Anchorage Borough, AK"	"02020"	331	1496603	22.12	21.35	18.98	23.71	1.21
	"Bethel Census Area, AK"	"02050"	40	89427	44.73	43.28	30.63	59.41	7.05
	"Bristol Bay Borough, AK"	"02060"	Suppressed	4669	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Denali Borough, AK"	"02068"	Suppressed	9626	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Dillingham Census Area, AK"	"02070"	Suppressed	24899	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Fairbanks North Star Borough, AK"	"02090"	104	500748	20.77	20.69	16.49	24.88	2.14
	"Haines Borough, AK"	"02100"	Suppressed	12640	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Hoonah-Angoon Census Area, AK"	"02105"	Suppressed	6277	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Juneau Borough, AK"	"02110"	29	162620	17.83	18.23	12.01	26.52	3.51
	"Kenai Peninsula Borough, AK"	"02122"	87	288187	30.19	30.16	23.99	37.44	3.33
	"Ketchikan Gateway Borough, AK"	"02130"	10	68577	14.58 (Unreliable)	15.03 (Unreliable)	6.87	28.53	4.89
	"Kodiak Island Borough, AK"	"02150"	Suppressed	69591	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Lake and Peninsula Borough, AK"	"02164"	Suppressed	8055	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Matanuska-Susitna Borough, AK"	"02170"	97	493395	19.66	20.12	16.22	24.68	2.10
	"Nome Census Area, AK"	"02180"	31	49396	62.76	63.88	42.78	91.74	11.78
	"North Slope Borough, AK"	"02185"	14	48407	28.92 (Unreliable)	27.73 (Unreliable)	14.77	47.43	7.56
	"Northwest Arctic Borough, AK"	"02188"	21	38616	54.38	51.73	31.60	79.89	11.53
	"Petersburg Borough/Census Area, AK"	"02195"	Suppressed	9473	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Prince of Wales-Hyder Census Area, AK"	"02198"	Suppressed	19100	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Prince of Wales-Outer Ketchikan Census Area, AK"	"02201"	Suppressed	12769	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Sitka Borough, AK"	"02220"	Suppressed	44606	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Skagway Municipality, AK"	"02230"	Suppressed	3177	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Skagway-Hoonah-Angoon Census Area, AK"	"02232"	Suppressed	6253	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Southeast Fairbanks Census Area, AK"	"02240"	Suppressed	34850	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Valdez-Cordova Census Area, AK"	"02261"	13	47609	27.31 (Unreliable)	27.40 (Unreliable)	14.16	47.86	7.98
	"Wade Hampton Census Area, AK"	"02270"	49	39963	122.61	130.47	94.42	175.74	19.96
	"Wrangell City and Borough, AK"	"02275"	Suppressed	7187	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Wrangell-Petersburg Census Area, AK"	"02280"	Suppressed	11327	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Yakutat Borough, AK"	"02282"	Suppressed	3163	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Yukon-Koyukuk Census Area, AK"	"02290"	14	28001	50.00 (Unreliable)	49.40 (Unreliable)	26.30	84.48	13.62
	"Apache County, AZ"	"04001"	112	361729	30.96	32.12	26.05	38.19	3.10
	"Cochise County, AZ"	"04003"	151	640883	23.56	21.85	18.16	25.53	1.88
	"Coconino County, AZ"	"04005"	140	690319	20.28	20.48	16.93	24.02	1.81
	"Gila County, AZ"	"04007"	83	265893	31.22	32.42	25.07	41.25	3.98
	"Graham County, AZ"	"04009"	37	187644	19.72	20.45	14.33	28.32	3.41
	"Greenlee County, AZ"	"04011"	Suppressed	46121	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"La Paz County, AZ"	"04012"	31	101521	30.54	26.60	16.47	40.67	5.75
	"Maricopa County, AZ"	"04013"	3251	20442743	15.90	15.77	15.22	16.32	0.28
	"Mohave County, AZ"	"04015"	363	1018147	35.65	31.80	28.14	35.46	1.87
	"Navajo County, AZ"	"04017"	148	541047	27.35	28.91	24.11	33.71	2.45
	"Pima County, AZ"	"04019"	952	5016692	18.98	18.27	17.07	19.48	0.61
	"Pinal County, AZ"	"04021"	311	1988021	15.64	15.43	13.67	17.19	0.90
	"Santa Cruz County, AZ"	"04023"	22	232733	9.45	9.26	5.73	14.16	2.04
	"Yavapai County, AZ"	"04025"	374	1092928	34.22	32.01	28.31	35.71	1.89
	"Yuma County, AZ"	"04027"	129	1016459	12.69	12.57	10.34	14.81	1.14
	"Arkansas County, AR"	"05001"	12	92844	12.92 (Unreliable)	13.31 (Unreliable)	6.64	23.82	4.00
	"Ashley County, AR"	"05003"	15	104947	14.29 (Unreliable)	14.17 (Unreliable)	7.75	23.77	3.76
	"Baxter County, AR"	"05005"	70	204959	34.15	33.65	25.35	43.79	4.54
	"Benton County, AR"	"05007"	191	1226154	15.58	15.85	13.59	18.11	1.15
	"Boone County, AR"	"05009"	43	186507	23.06	20.48	14.56	27.99	3.27
	"Bradley County, AR"	"05011"	Suppressed	55479	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Calhoun County, AR"	"05013"	Suppressed	26048	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Carroll County, AR"	"05015"	32	138451	23.11	20.96	13.93	30.30	3.98
	"Chicot County, AR"	"05017"	Suppressed	55943	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Clark County, AR"	"05019"	16	113419	14.11 (Unreliable)	14.45 (Unreliable)	8.09	23.84	3.77
	"Clay County, AR"	"05021"	19	76010	25.00 (Unreliable)	26.13 (Unreliable)	15.49	41.30	6.24
	"Cleburne County, AR"	"05023"	27	127937	21.10	21.45	13.74	31.91	4.41
	"Cleveland County, AR"	"05025"	10	42104	23.75 (Unreliable)	24.40 (Unreliable)	11.16	46.32	8.01
	"Columbia County, AR"	"05027"	26	120842	21.52	22.19	14.07	33.29	4.62
	"Conway County, AR"	"05029"	23	105300	21.84	22.34	13.83	34.15	4.85
	"Craighead County, AR"	"05031"	86	514420	16.72	16.79	13.38	20.82	1.84
	"Crawford County, AR"	"05033"	64	309637	20.67	21.07	16.15	27.01	2.69
	"Crittenden County, AR"	"05035"	26	247553	10.50	10.57	6.84	15.60	2.13
	"Cross County, AR"	"05037"	19	86644	21.93 (Unreliable)	23.85 (Unreliable)	14.13	37.69	5.57
	"Dallas County, AR"	"05039"	Suppressed	38688	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Desha County, AR"	"05041"	10	61170	16.35 (Unreliable)	18.93 (Unreliable)	9.08	34.81	6.11
	"Drew County, AR"	"05043"	12	93439	12.84 (Unreliable)	12.32 (Unreliable)	6.15	22.05	3.76
	"Faulkner County, AR"	"05045"	90	602086	14.95	14.88	11.90	18.38	1.60
	"Franklin County, AR"	"05047"	19	88993	21.35 (Unreliable)	23.51 (Unreliable)	13.93	37.16	5.55
	"Fulton County, AR"	"05049"	12	60930	19.69 (Unreliable)	21.78 (Unreliable)	10.87	38.97	6.56
	"Garland County, AR"	"05051"	140	485594	28.83	28.91	23.86	33.97	2.58
	"Grant County, AR"	"05053"	15	90232	16.62 (Unreliable)	16.09 (Unreliable)	8.80	27.00	4.26
	"Greene County, AR"	"05055"	62	218726	28.35	27.65	21.10	35.60	3.57
	"Hempstead County, AR"	"05057"	14	111039	12.61 (Unreliable)	12.97 (Unreliable)	6.91	22.18	3.55
	"Hot Spring County, AR"	"05059"	38	167198	22.73	21.34	14.94	29.54	3.55
	"Howard County, AR"	"05061"	12	67435	17.79 (Unreliable)	16.87 (Unreliable)	8.42	30.19	5.09
	"Independence County, AR"	"05063"	33	185152	17.82	18.44	12.61	26.03	3.27
	"Izard County, AR"	"05065"	19	67303	28.23 (Unreliable)	30.24 (Unreliable)	17.61	48.41	7.40
	"Jackson County, AR"	"05067"	17	87475	19.43 (Unreliable)	17.95 (Unreliable)	10.26	29.16	4.46
	"Jefferson County, AR"	"05069"	55	361924	15.20	15.15	11.31	19.86	2.10
	"Johnson County, AR"	"05071"	26	130127	19.98	20.13	13.02	29.71	4.04
	"Lafayette County, AR"	"05073"	Suppressed	35633	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Lawrence County, AR"	"05075"	11	84577	13.01 (Unreliable)	12.09 (Unreliable)	5.80	22.24	3.83
	"Lee County, AR"	"05077"	Suppressed	48906	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Lincoln County, AR"	"05079"	Suppressed	69675	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Little River County, AR"	"05081"	Suppressed	63080	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Logan County, AR"	"05083"	26	109676	23.71	24.91	16.12	36.77	5.03
	"Lonoke County, AR"	"05085"	58	356396	16.27	16.34	12.38	21.18	2.16
	"Madison County, AR"	"05087"	19	78806	24.11 (Unreliable)	22.72 (Unreliable)	13.47	35.91	5.41
	"Marion County, AR"	"05089"	24	82022	29.26	32.94	19.84	51.45	7.52
	"Miller County, AR"	"05091"	32	218331	14.66	14.59	9.91	20.71	2.62
	"Mississippi County, AR"	"05093"	38	220995	17.19	17.38	12.23	23.95	2.87
	"Monroe County, AR"	"05095"	Suppressed	37709	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Montgomery County, AR"	"05097"	13	45500	28.57 (Unreliable)	29.81 (Unreliable)	14.88	53.33	8.99
	"Nevada County, AR"	"05099"	18	43342	41.53 (Unreliable)	38.80 (Unreliable)	22.18	63.00	9.67
	"Newton County, AR"	"05101"	12	39938	30.05 (Unreliable)	32.80 (Unreliable)	15.73	60.31	10.29
	"Ouachita County, AR"	"05103"	26	123641	21.03	18.24	11.69	27.14	3.71
	"Perry County, AR"	"05105"	13	51231	25.38 (Unreliable)	24.19 (Unreliable)	12.50	42.25	7.05
	"Phillips County, AR"	"05107"	16	99646	16.06 (Unreliable)	14.32 (Unreliable)	7.83	24.03	3.77
	"Pike County, AR"	"05109"	10	55084	18.15 (Unreliable)	17.07 (Unreliable)	7.80	32.40	5.66
	"Poinsett County, AR"	"05111"	26	120655	21.55	20.90	13.53	30.86	4.21
	"Polk County, AR"	"05113"	22	101451	21.69	22.25	13.59	34.36	4.95
	"Pope County, AR"	"05115"	51	315534	16.16	16.16	11.92	21.43	2.32
	"Prairie County, AR"	"05117"	Suppressed	41669	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Pulaski County, AR"	"05119"	328	1959032	16.74	16.41	14.60	18.22	0.92
	"Randolph County, AR"	"05121"	13	87918	14.79 (Unreliable)	14.58 (Unreliable)	7.53	25.46	4.18
	"St. Francis County, AR"	"05123"	11	135115	8.14 (Unreliable)	7.73 (Unreliable)	3.86	13.83	2.37
	"Saline County, AR"	"05125"	81	577886	14.02	14.35	11.36	17.88	1.62
	"Scott County, AR"	"05127"	Suppressed	53306	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Searcy County, AR"	"05129"	11	39692	27.71 (Unreliable)	31.94 (Unreliable)	15.32	58.74	10.15
	"Sebastian County, AR"	"05131"	102	636755	16.02	16.31	13.10	19.53	1.64
	"Sevier County, AR"	"05133"	16	85963	18.61 (Unreliable)	18.27 (Unreliable)	10.44	29.67	4.61
	"Sharp County, AR"	"05135"	22	85137	25.84	25.32	15.01	40.02	5.90
	"Stone County, AR"	"05137"	15	62514	23.99 (Unreliable)	26.91 (Unreliable)	14.33	46.01	7.50
	"Union County, AR"	"05139"	35	201670	17.36	17.41	11.98	24.45	3.05
	"Van Buren County, AR"	"05141"	17	84460	20.13 (Unreliable)	19.62 (Unreliable)	10.73	32.92	5.17
	"Washington County, AR"	"05143"	162	1099649	14.73	15.21	12.83	17.60	1.22
	"White County, AR"	"05145"	62	394113	15.73	16.10	12.26	20.77	2.09
	"Woodruff County, AR"	"05147"	Suppressed	34364	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Yell County, AR"	"05149"	17	108581	15.66 (Unreliable)	16.37 (Unreliable)	9.36	26.58	4.03
	"Alameda County, CA"	"06001"	754	8026087	9.39	8.88	8.24	9.53	0.33
	"Alpine County, CA"	"06003"	Suppressed	5545	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Amador County, CA"	"06005"	54	184813	29.22	25.36	18.43	34.05	3.83
	"Butte County, CA"	"06007"	197	1119385	17.60	17.25	14.72	19.79	1.29
	"Calaveras County, CA"	"06009"	59	223937	26.35	22.41	16.34	29.98	3.34
	"Colusa County, CA"	"06011"	19	106807	17.79 (Unreliable)	19.36 (Unreliable)	11.48	30.60	4.52
	"Contra Costa County, CA"	"06013"	573	5539626	10.34	9.96	9.13	10.79	0.42
	"Del Norte County, CA"	"06015"	30	138142	21.72	19.38	12.88	28.01	3.66
	"El Dorado County, CA"	"06017"	168	915000	18.36	17.09	14.33	19.84	1.40
	"Fresno County, CA"	"06019"	484	4815802	10.05	10.62	9.66	11.58	0.49
	"Glenn County, CA"	"06021"	24	139881	17.16	16.76	10.63	25.15	3.49
	"Humboldt County, CA"	"06023"	185	675912	27.37	26.27	22.34	30.19	2.00
	"Imperial County, CA"	"06025"	69	894036	7.72	7.93	6.14	10.07	0.97
	"Inyo County, CA"	"06027"	22	91631	24.01	17.20	10.36	26.87	3.95
	"Kern County, CA"	"06029"	576	4356685	13.22	13.95	12.79	15.11	0.59
	"Kings County, CA"	"06031"	70	751307	9.32	9.89	7.66	12.56	1.20
	"Lake County, CA"	"06033"	92	320379	28.72	26.56	21.03	33.10	2.98
	"Lassen County, CA"	"06035"	40	159723	25.04	22.72	16.08	31.19	3.70
	"Los Angeles County, CA"	"06037"	4051	50285776	8.06	7.79	7.55	8.03	0.12
	"Madera County, CA"	"06039"	93	766832	12.13	12.57	10.11	15.45	1.32
	"Marin County, CA"	"06041"	192	1296791	14.81	12.17	10.33	14.01	0.94
	"Mariposa County, CA"	"06043"	30	88225	34.00	35.22	22.57	52.41	7.19
	"Mendocino County, CA"	"06045"	98	437046	22.42	22.51	18.08	27.70	2.38
	"Merced County, CA"	"06047"	139	1325003	10.49	11.34	9.43	13.25	0.98
	"Modoc County, CA"	"06049"	12	45166	26.57 (Unreliable)	26.97 (Unreliable)	13.46	48.25	8.28
	"Mono County, CA"	"06051"	Suppressed	70256	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Monterey County, CA"	"06053"	205	2151004	9.53	9.52	8.20	10.84	0.67
	"Napa County, CA"	"06055"	84	704117	11.93	11.19	8.86	13.95	1.26
	"Nevada County, CA"	"06057"	110	493193	22.30	19.10	15.14	23.05	2.02
	"Orange County, CA"	"06059"	1587	15661054	10.13	9.62	9.14	10.10	0.24
	"Placer County, CA"	"06061"	240	1852853	12.95	11.75	10.22	13.29	0.78
	"Plumas County, CA"	"06063"	27	93772	28.79	27.70	17.36	41.94	5.96
	"Riverside County, CA"	"06065"	1272	11619459	10.95	10.89	10.28	11.49	0.31
	"Sacramento County, CA"	"06067"	1002	7396500	13.55	13.27	12.43	14.10	0.43
	"San Benito County, CA"	"06069"	18	290255	6.20 (Unreliable)	6.40 (Unreliable)	3.73	10.25	1.54
	"San Bernardino County, CA"	"06071"	1065	10533768	10.11	10.53	9.88	11.17	0.33
	"San Diego County, CA"	"06073"	2087	16266782	12.83	12.40	11.86	12.94	0.28
	"San Francisco County, CA"	"06075"	428	4251411	10.07	9.12	8.23	10.01	0.45
	"San Joaquin County, CA"	"06077"	375	3574299	10.49	10.78	9.68	11.88	0.56
	"San Luis Obispo County, CA"	"06079"	257	1393402	18.44	16.61	14.46	18.75	1.09
	"San Mateo County, CA"	"06081"	300	3773741	7.95	7.40	6.54	8.25	0.44
	"Santa Barbara County, CA"	"06083"	273	2196976	12.43	12.09	10.62	13.56	0.75
	"Santa Clara County, CA"	"06085"	762	9425280	8.08	7.78	7.22	8.34	0.28
	"Santa Cruz County, CA"	"06087"	217	1354654	16.02	15.47	13.33	17.61	1.09
	"Shasta County, CA"	"06089"	211	896141	23.55	21.85	18.73	24.97	1.59
	"Sierra County, CA"	"06091"	Suppressed	15028	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Siskiyou County, CA"	"06093"	61	218341	27.94	25.09	18.62	33.07	3.54
	"Solano County, CA"	"06095"	257	2147982	11.96	11.40	9.98	12.83	0.73
	"Sonoma County, CA"	"06097"	339	2488878	13.62	12.17	10.82	13.51	0.69
	"Stanislaus County, CA"	"06099"	276	2652803	10.40	10.49	9.24	11.74	0.64
	"Sutter County, CA"	"06101"	79	477028	16.56	15.93	12.57	19.91	1.82
	"Tehama County, CA"	"06103"	59	315073	18.73	17.61	13.23	22.97	2.40
	"Trinity County, CA"	"06105"	18	65901	27.31 (Unreliable)	27.28 (Unreliable)	15.27	45.00	7.05
	"Tulare County, CA"	"06107"	230	2278845	10.09	10.80	9.39	12.22	0.72
	"Tuolumne County, CA"	"06109"	54	269320	20.05	16.11	11.80	21.49	2.38
	"Ventura County, CA"	"06111"	491	4215552	11.65	11.17	10.16	12.17	0.51
	"Yolo County, CA"	"06113"	107	1048355	10.21	10.34	8.32	12.36	1.03
	"Yuba County, CA"	"06115"	60	369484	16.24	16.25	12.34	21.01	2.14
	"Adams County, CO"	"08001"	411	2399886	17.13	17.51	15.80	19.23	0.87
	"Alamosa County, CO"	"08003"	24	81767	29.35	30.98	19.41	46.90	6.60
	"Arapahoe County, CO"	"08005"	551	3088342	17.84	17.52	16.04	19.01	0.76
	"Archuleta County, CO"	"08007"	18	61774	29.14 (Unreliable)	26.29 (Unreliable)	14.71	43.36	6.90
	"Baca County, CO"	"08009"	Suppressed	18241	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Bent County, CO"	"08011"	Suppressed	29082	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Boulder County, CO"	"08013"	278	1569805	17.71	16.83	14.81	18.85	1.03
	"Broomfield County, CO"	"08014"	55	312246	17.61	17.08	12.83	22.29	2.33
	"Chaffee County, CO"	"08015"	24	92535	25.94	19.76	12.23	30.21	4.30
	"Cheyenne County, CO"	"08017"	Suppressed	9259	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Clear Creek County, CO"	"08019"	Suppressed	46190	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Conejos County, CO"	"08021"	10	41066	24.35 (Unreliable)	25.99 (Unreliable)	11.88	49.34	8.72
	"Costilla County, CO"	"08023"	Suppressed	17948	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Crowley County, CO"	"08025"	Suppressed	27684	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Custer County, CO"	"08027"	12	21876	54.85 (Unreliable)	47.48 (Unreliable)	20.50	93.55	16.47
	"Delta County, CO"	"08029"	46	151105	30.44	30.49	21.68	41.68	4.90
	"Denver County, CO"	"08031"	530	3316513	15.98	15.81	14.42	17.19	0.71
	"Dolores County, CO"	"08033"	Suppressed	10040	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Douglas County, CO"	"08035"	270	1571190	17.18	17.11	15.00	19.21	1.07
	"Eagle County, CO"	"08037"	33	264471	12.48	10.81	7.40	15.27	1.91
	"Elbert County, CO"	"08039"	30	121127	24.77	22.79	14.75	33.64	4.55
	"El Paso County, CO"	"08041"	814	3325855	24.47	24.13	22.44	25.81	0.86
	"Fremont County, CO"	"08043"	71	234175	30.32	26.94	20.83	34.27	3.32
	"Garfield County, CO"	"08045"	63	287473	21.92	21.90	16.75	28.13	2.81
	"Gilpin County, CO"	"08047"	Suppressed	28541	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Grand County, CO"	"08049"	23	72450	31.75	29.38	17.95	45.38	6.50
	"Gunnison County, CO"	"08051"	25	79443	31.47	28.92	18.34	43.40	6.09
	"Hinsdale County, CO"	"08053"	Suppressed	3937	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Huerfano County, CO"	"08055"	12	32604	36.81 (Unreliable)	43.96 (Unreliable)	20.10	83.44	14.40
	"Jackson County, CO"	"08057"	Suppressed	6806	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Jefferson County, CO"	"08059"	543	2794048	19.43	18.42	16.83	20.01	0.81
	"Kiowa County, CO"	"08061"	Suppressed	7051	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Kit Carson County, CO"	"08063"	10	40869	24.47 (Unreliable)	23.29 (Unreliable)	10.65	44.21	7.59
	"Lake County, CO"	"08065"	12	37006	32.43 (Unreliable)	31.92 (Unreliable)	15.94	57.12	9.46
	"La Plata County, CO"	"08067"	55	269970	20.37	19.47	14.54	25.53	2.71
