"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Crude Rate Standard Error
	"Autauga County, AL"	"01001"	53	275247	19.26	14.42	25.19	2.64
	"Baldwin County, AL"	"01003"	207	997548	20.75	17.92	23.58	1.44
	"Barbour County, AL"	"01005"	16	133068	12.02 (Unreliable)	6.87	19.53	3.01
	"Bibb County, AL"	"01007"	20	112861	17.72	10.82	27.37	3.96
	"Blount County, AL"	"01009"	52	288519	18.02	13.46	23.63	2.50
	"Bullock County, AL"	"01011"	Suppressed	52759	Suppressed	Suppressed	Suppressed	Suppressed
	"Butler County, AL"	"01013"	17	101402	16.76 (Unreliable)	9.77	26.84	4.07
	"Calhoun County, AL"	"01015"	107	579416	18.47	14.97	21.97	1.79
	"Chambers County, AL"	"01017"	39	170089	22.93	16.30	31.34	3.67
	"Cherokee County, AL"	"01019"	27	129486	20.85	13.74	30.34	4.01
	"Chilton County, AL"	"01021"	36	219086	16.43	11.51	22.75	2.74
	"Choctaw County, AL"	"01023"	Suppressed	66437	Suppressed	Suppressed	Suppressed	Suppressed
	"Clarke County, AL"	"01025"	22	124233	17.71	11.10	26.81	3.78
	"Clay County, AL"	"01027"	12	67415	17.80 (Unreliable)	9.20	31.09	5.14
	"Cleburne County, AL"	"01029"	13	74955	17.34 (Unreliable)	9.23	29.66	4.81
	"Coffee County, AL"	"01031"	44	254955	17.26	12.54	23.17	2.60
	"Colbert County, AL"	"01033"	40	271887	14.71	10.51	20.03	2.33
	"Conecuh County, AL"	"01035"	11	63486	17.33 (Unreliable)	8.65	31.00	5.22
	"Coosa County, AL"	"01037"	12	54321	22.09 (Unreliable)	11.41	38.59	6.38
	"Covington County, AL"	"01039"	22	188646	11.66	7.31	17.66	2.49
	"Crenshaw County, AL"	"01041"	10	69481	14.39 (Unreliable)	6.90	26.47	4.55
	"Cullman County, AL"	"01043"	79	406578	19.43	15.38	24.22	2.19
	"Dale County, AL"	"01045"	30	248034	12.10	8.16	17.27	2.21
	"Dallas County, AL"	"01047"	18	207131	8.69 (Unreliable)	5.15	13.73	2.05
	"DeKalb County, AL"	"01049"	56	354686	15.79	11.93	20.50	2.11
	"Elmore County, AL"	"01051"	74	404783	18.28	14.35	22.95	2.13
	"Escambia County, AL"	"01053"	30	189373	15.84	10.69	22.62	2.89
	"Etowah County, AL"	"01055"	76	516813	14.71	11.59	18.41	1.69
	"Fayette County, AL"	"01057"	21	83914	25.03	15.49	38.25	5.46
	"Franklin County, AL"	"01059"	30	157867	19.00	12.82	27.13	3.47
	"Geneva County, AL"	"01061"	19	133823	14.20 (Unreliable)	8.55	22.17	3.26
	"Greene County, AL"	"01063"	Suppressed	42936	Suppressed	Suppressed	Suppressed	Suppressed
	"Hale County, AL"	"01065"	Suppressed	75794	Suppressed	Suppressed	Suppressed	Suppressed
	"Henry County, AL"	"01067"	13	85936	15.13 (Unreliable)	8.05	25.87	4.20
	"Houston County, AL"	"01069"	69	519454	13.28	10.34	16.81	1.60
	"Jackson County, AL"	"01071"	63	263042	23.95	18.40	30.64	3.02
	"Jefferson County, AL"	"01073"	429	3295478	13.02	11.79	14.25	0.63
	"Lamar County, AL"	"01075"	Suppressed	70331	Suppressed	Suppressed	Suppressed	Suppressed
	"Lauderdale County, AL"	"01077"	66	463207	14.25	11.02	18.13	1.75
	"Lawrence County, AL"	"01079"	31	167167	18.54	12.60	26.32	3.33
	"Lee County, AL"	"01081"	94	769735	12.21	9.87	14.94	1.26
	"Limestone County, AL"	"01083"	62	451287	13.74	10.53	17.61	1.74
	"Lowndes County, AL"	"01085"	Suppressed	52824	Suppressed	Suppressed	Suppressed	Suppressed
	"Macon County, AL"	"01087"	11	98420	11.18 (Unreliable)	5.58	20.00	3.37
	"Madison County, AL"	"01089"	282	1749867	16.12	14.23	18.00	0.96
	"Marengo County, AL"	"01091"	11	100330	10.96 (Unreliable)	5.47	19.62	3.31
	"Marion County, AL"	"01093"	28	151196	18.52	12.31	26.77	3.50
	"Marshall County, AL"	"01095"	84	472670	17.77	14.18	22.00	1.94
	"Mobile County, AL"	"01097"	319	2071456	15.40	13.71	17.09	0.86
	"Monroe County, AL"	"01099"	13	109876	11.83 (Unreliable)	6.30	20.23	3.28
	"Montgomery County, AL"	"01101"	129	1136959	11.35	9.39	13.30	1.00
	"Morgan County, AL"	"01103"	102	597776	17.06	13.75	20.37	1.69
	"Perry County, AL"	"01105"	Suppressed	49278	Suppressed	Suppressed	Suppressed	Suppressed
	"Pickens County, AL"	"01107"	10	100212	9.98 (Unreliable)	4.79	18.35	3.16
	"Pike County, AL"	"01109"	24	166387	14.42	9.24	21.46	2.94
	"Randolph County, AL"	"01111"	25	113075	22.11	14.31	32.64	4.42
	"Russell County, AL"	"01113"	43	293178	14.67	10.61	19.76	2.24
	"St. Clair County, AL"	"01115"	83	432880	19.17	15.27	23.77	2.10
	"Shelby County, AL"	"01117"	145	1029753	14.08	11.79	16.37	1.17
	"Sumter County, AL"	"01119"	Suppressed	66424	Suppressed	Suppressed	Suppressed	Suppressed
	"Talladega County, AL"	"01121"	73	405286	18.01	14.12	22.65	2.11
	"Tallapoosa County, AL"	"01123"	30	204792	14.65	9.88	20.91	2.67
	"Tuscaloosa County, AL"	"01125"	104	1012356	10.27	8.30	12.25	1.01
	"Walker County, AL"	"01127"	75	327967	22.87	17.99	28.67	2.64
	"Washington County, AL"	"01129"	19	84544	22.47 (Unreliable)	13.53	35.10	5.16
	"Wilcox County, AL"	"01131"	Suppressed	55593	Suppressed	Suppressed	Suppressed	Suppressed
	"Winston County, AL"	"01133"	21	120063	17.49	10.83	26.74	3.82
	"Aleutians East Borough, AK"	"02013"	Suppressed	16496	Suppressed	Suppressed	Suppressed	Suppressed
	"Aleutians West Census Area, AK"	"02016"	Suppressed	28569	Suppressed	Suppressed	Suppressed	Suppressed
	"Anchorage Borough, AK"	"02020"	331	1496603	22.12	19.73	24.50	1.22
	"Bethel Census Area, AK"	"02050"	40	89427	44.73	31.96	60.91	7.07
	"Bristol Bay Borough, AK"	"02060"	Suppressed	4669	Suppressed	Suppressed	Suppressed	Suppressed
	"Denali Borough, AK"	"02068"	Suppressed	9626	Suppressed	Suppressed	Suppressed	Suppressed
	"Dillingham Census Area, AK"	"02070"	Suppressed	24899	Suppressed	Suppressed	Suppressed	Suppressed
	"Fairbanks North Star Borough, AK"	"02090"	104	500748	20.77	16.78	24.76	2.04
	"Haines Borough, AK"	"02100"	Suppressed	12640	Suppressed	Suppressed	Suppressed	Suppressed
	"Hoonah-Angoon Census Area, AK"	"02105"	Suppressed	6277	Suppressed	Suppressed	Suppressed	Suppressed
	"Juneau Borough, AK"	"02110"	29	162620	17.83	11.94	25.61	3.31
	"Kenai Peninsula Borough, AK"	"02122"	87	288187	30.19	24.18	37.24	3.24
	"Ketchikan Gateway Borough, AK"	"02130"	10	68577	14.58 (Unreliable)	6.99	26.82	4.61
	"Kodiak Island Borough, AK"	"02150"	Suppressed	69591	Suppressed	Suppressed	Suppressed	Suppressed
	"Lake and Peninsula Borough, AK"	"02164"	Suppressed	8055	Suppressed	Suppressed	Suppressed	Suppressed
	"Matanuska-Susitna Borough, AK"	"02170"	97	493395	19.66	15.94	23.98	2.00
	"Nome Census Area, AK"	"02180"	31	49396	62.76	42.64	89.08	11.27
	"North Slope Borough, AK"	"02185"	14	48407	28.92 (Unreliable)	15.81	48.53	7.73
	"Northwest Arctic Borough, AK"	"02188"	21	38616	54.38	33.66	83.13	11.87
	"Petersburg Borough/Census Area, AK"	"02195"	Suppressed	9473	Suppressed	Suppressed	Suppressed	Suppressed
	"Prince of Wales-Hyder Census Area, AK"	"02198"	Suppressed	19100	Suppressed	Suppressed	Suppressed	Suppressed
	"Prince of Wales-Outer Ketchikan Census Area, AK"	"02201"	Suppressed	12769	Suppressed	Suppressed	Suppressed	Suppressed
	"Sitka Borough, AK"	"02220"	Suppressed	44606	Suppressed	Suppressed	Suppressed	Suppressed
	"Skagway Municipality, AK"	"02230"	Suppressed	3177	Suppressed	Suppressed	Suppressed	Suppressed
	"Skagway-Hoonah-Angoon Census Area, AK"	"02232"	Suppressed	6253	Suppressed	Suppressed	Suppressed	Suppressed
	"Southeast Fairbanks Census Area, AK"	"02240"	Suppressed	34850	Suppressed	Suppressed	Suppressed	Suppressed
	"Valdez-Cordova Census Area, AK"	"02261"	13	47609	27.31 (Unreliable)	14.54	46.69	7.57
	"Wade Hampton Census Area, AK"	"02270"	49	39963	122.61	90.71	162.10	17.52
	"Wrangell City and Borough, AK"	"02275"	Suppressed	7187	Suppressed	Suppressed	Suppressed	Suppressed
	"Wrangell-Petersburg Census Area, AK"	"02280"	Suppressed	11327	Suppressed	Suppressed	Suppressed	Suppressed
	"Yakutat Borough, AK"	"02282"	Suppressed	3163	Suppressed	Suppressed	Suppressed	Suppressed
	"Yukon-Koyukuk Census Area, AK"	"02290"	14	28001	50.00 (Unreliable)	27.33	83.89	13.36
	"Apache County, AZ"	"04001"	112	361729	30.96	25.23	36.70	2.93
	"Cochise County, AZ"	"04003"	151	640883	23.56	19.80	27.32	1.92
	"Coconino County, AZ"	"04005"	140	690319	20.28	16.92	23.64	1.71
	"Gila County, AZ"	"04007"	83	265893	31.22	24.86	38.70	3.43
	"Graham County, AZ"	"04009"	37	187644	19.72	13.88	27.18	3.24
	"Greenlee County, AZ"	"04011"	Suppressed	46121	Suppressed	Suppressed	Suppressed	Suppressed
	"La Paz County, AZ"	"04012"	31	101521	30.54	20.75	43.34	5.48
	"Maricopa County, AZ"	"04013"	3251	20442743	15.90	15.36	16.45	0.28
	"Mohave County, AZ"	"04015"	363	1018147	35.65	31.99	39.32	1.87
	"Navajo County, AZ"	"04017"	148	541047	27.35	22.95	31.76	2.25
	"Pima County, AZ"	"04019"	952	5016692	18.98	17.77	20.18	0.62
	"Pinal County, AZ"	"04021"	311	1988021	15.64	13.91	17.38	0.89
	"Santa Cruz County, AZ"	"04023"	22	232733	9.45	5.92	14.31	2.02
	"Yavapai County, AZ"	"04025"	374	1092928	34.22	30.75	37.69	1.77
	"Yuma County, AZ"	"04027"	129	1016459	12.69	10.50	14.88	1.12
	"Arkansas County, AR"	"05001"	12	92844	12.92 (Unreliable)	6.68	22.58	3.73
	"Ashley County, AR"	"05003"	15	104947	14.29 (Unreliable)	8.00	23.57	3.69
	"Baxter County, AR"	"05005"	70	204959	34.15	26.62	43.15	4.08
	"Benton County, AR"	"05007"	191	1226154	15.58	13.37	17.79	1.13
	"Boone County, AR"	"05009"	43	186507	23.06	16.69	31.06	3.52
	"Bradley County, AR"	"05011"	Suppressed	55479	Suppressed	Suppressed	Suppressed	Suppressed
	"Calhoun County, AR"	"05013"	Suppressed	26048	Suppressed	Suppressed	Suppressed	Suppressed
	"Carroll County, AR"	"05015"	32	138451	23.11	15.81	32.63	4.09
	"Chicot County, AR"	"05017"	Suppressed	55943	Suppressed	Suppressed	Suppressed	Suppressed
	"Clark County, AR"	"05019"	16	113419	14.11 (Unreliable)	8.06	22.91	3.53
	"Clay County, AR"	"05021"	19	76010	25.00 (Unreliable)	15.05	39.04	5.73
	"Cleburne County, AR"	"05023"	27	127937	21.10	13.91	30.71	4.06
	"Cleveland County, AR"	"05025"	10	42104	23.75 (Unreliable)	11.39	43.68	7.51
	"Columbia County, AR"	"05027"	26	120842	21.52	14.05	31.53	4.22
	"Conway County, AR"	"05029"	23	105300	21.84	13.85	32.77	4.55
	"Craighead County, AR"	"05031"	86	514420	16.72	13.37	20.65	1.80
	"Crawford County, AR"	"05033"	64	309637	20.67	15.92	26.39	2.58
	"Crittenden County, AR"	"05035"	26	247553	10.50	6.86	15.39	2.06
	"Cross County, AR"	"05037"	19	86644	21.93 (Unreliable)	13.20	34.24	5.03
	"Dallas County, AR"	"05039"	Suppressed	38688	Suppressed	Suppressed	Suppressed	Suppressed
	"Desha County, AR"	"05041"	10	61170	16.35 (Unreliable)	7.84	30.06	5.17
	"Drew County, AR"	"05043"	12	93439	12.84 (Unreliable)	6.64	22.43	3.71
	"Faulkner County, AR"	"05045"	90	602086	14.95	12.02	18.37	1.58
	"Franklin County, AR"	"05047"	19	88993	21.35 (Unreliable)	12.85	33.34	4.90
	"Fulton County, AR"	"05049"	12	60930	19.69 (Unreliable)	10.18	34.40	5.69
	"Garland County, AR"	"05051"	140	485594	28.83	24.05	33.61	2.44
	"Grant County, AR"	"05053"	15	90232	16.62 (Unreliable)	9.30	27.42	4.29
	"Greene County, AR"	"05055"	62	218726	28.35	21.73	36.34	3.60
	"Hempstead County, AR"	"05057"	14	111039	12.61 (Unreliable)	6.89	21.15	3.37
	"Hot Spring County, AR"	"05059"	38	167198	22.73	16.08	31.20	3.69
	"Howard County, AR"	"05061"	12	67435	17.79 (Unreliable)	9.19	31.08	5.14
	"Independence County, AR"	"05063"	33	185152	17.82	12.27	25.03	3.10
	"Izard County, AR"	"05065"	19	67303	28.23 (Unreliable)	17.00	44.09	6.48
	"Jackson County, AR"	"05067"	17	87475	19.43 (Unreliable)	11.32	31.12	4.71
	"Jefferson County, AR"	"05069"	55	361924	15.20	11.45	19.78	2.05
	"Johnson County, AR"	"05071"	26	130127	19.98	13.05	29.28	3.92
	"Lafayette County, AR"	"05073"	Suppressed	35633	Suppressed	Suppressed	Suppressed	Suppressed
	"Lawrence County, AR"	"05075"	11	84577	13.01 (Unreliable)	6.49	23.27	3.92
	"Lee County, AR"	"05077"	Suppressed	48906	Suppressed	Suppressed	Suppressed	Suppressed
	"Lincoln County, AR"	"05079"	Suppressed	69675	Suppressed	Suppressed	Suppressed	Suppressed
	"Little River County, AR"	"05081"	Suppressed	63080	Suppressed	Suppressed	Suppressed	Suppressed
	"Logan County, AR"	"05083"	26	109676	23.71	15.49	34.74	4.65
	"Lonoke County, AR"	"05085"	58	356396	16.27	12.36	21.04	2.14
	"Madison County, AR"	"05087"	19	78806	24.11 (Unreliable)	14.52	37.65	5.53
	"Marion County, AR"	"05089"	24	82022	29.26	18.75	43.54	5.97
	"Miller County, AR"	"05091"	32	218331	14.66	10.03	20.69	2.59
	"Mississippi County, AR"	"05093"	38	220995	17.19	12.17	23.60	2.79
	"Monroe County, AR"	"05095"	Suppressed	37709	Suppressed	Suppressed	Suppressed	Suppressed
	"Montgomery County, AR"	"05097"	13	45500	28.57 (Unreliable)	15.21	48.86	7.92
	"Nevada County, AR"	"05099"	18	43342	41.53 (Unreliable)	24.61	65.64	9.79
	"Newton County, AR"	"05101"	12	39938	30.05 (Unreliable)	15.53	52.49	8.67
	"Ouachita County, AR"	"05103"	26	123641	21.03	13.74	30.81	4.12
	"Perry County, AR"	"05105"	13	51231	25.38 (Unreliable)	13.51	43.39	7.04
	"Phillips County, AR"	"05107"	16	99646	16.06 (Unreliable)	9.18	26.08	4.01
	"Pike County, AR"	"05109"	10	55084	18.15 (Unreliable)	8.71	33.39	5.74
	"Poinsett County, AR"	"05111"	26	120655	21.55	14.08	31.57	4.23
	"Polk County, AR"	"05113"	22	101451	21.69	13.59	32.83	4.62
	"Pope County, AR"	"05115"	51	315534	16.16	12.03	21.25	2.26
	"Prairie County, AR"	"05117"	Suppressed	41669	Suppressed	Suppressed	Suppressed	Suppressed
	"Pulaski County, AR"	"05119"	328	1959032	16.74	14.93	18.55	0.92
	"Randolph County, AR"	"05121"	13	87918	14.79 (Unreliable)	7.87	25.29	4.10
	"St. Francis County, AR"	"05123"	11	135115	8.14 (Unreliable)	4.06	14.57	2.45
	"Saline County, AR"	"05125"	81	577886	14.02	11.13	17.42	1.56
	"Scott County, AR"	"05127"	Suppressed	53306	Suppressed	Suppressed	Suppressed	Suppressed
	"Searcy County, AR"	"05129"	11	39692	27.71 (Unreliable)	13.83	49.59	8.36
	"Sebastian County, AR"	"05131"	102	636755	16.02	12.91	19.13	1.59
	"Sevier County, AR"	"05133"	16	85963	18.61 (Unreliable)	10.64	30.23	4.65
	"Sharp County, AR"	"05135"	22	85137	25.84	16.19	39.12	5.51
	"Stone County, AR"	"05137"	15	62514	23.99 (Unreliable)	13.43	39.58	6.20
	"Union County, AR"	"05139"	35	201670	17.36	12.09	24.14	2.93
	"Van Buren County, AR"	"05141"	17	84460	20.13 (Unreliable)	11.73	32.23	4.88
	"Washington County, AR"	"05143"	162	1099649	14.73	12.46	17.00	1.16
	"White County, AR"	"05145"	62	394113	15.73	12.06	20.17	2.00
	"Woodruff County, AR"	"05147"	Suppressed	34364	Suppressed	Suppressed	Suppressed	Suppressed
	"Yell County, AR"	"05149"	17	108581	15.66 (Unreliable)	9.12	25.07	3.80
	"Alameda County, CA"	"06001"	754	8026087	9.39	8.72	10.06	0.34
	"Alpine County, CA"	"06003"	Suppressed	5545	Suppressed	Suppressed	Suppressed	Suppressed
	"Amador County, CA"	"06005"	54	184813	29.22	21.95	38.12	3.98
	"Butte County, CA"	"06007"	197	1119385	17.60	15.14	20.06	1.25
	"Calaveras County, CA"	"06009"	59	223937	26.35	20.06	33.99	3.43
	"Colusa County, CA"	"06011"	19	106807	17.79 (Unreliable)	10.71	27.78	4.08
	"Contra Costa County, CA"	"06013"	573	5539626	10.34	9.50	11.19	0.43
	"Del Norte County, CA"	"06015"	30	138142	21.72	14.65	31.00	3.96
	"El Dorado County, CA"	"06017"	168	915000	18.36	15.58	21.14	1.42
	"Fresno County, CA"	"06019"	484	4815802	10.05	9.15	10.95	0.46
	"Glenn County, CA"	"06021"	24	139881	17.16	10.99	25.53	3.50
	"Humboldt County, CA"	"06023"	185	675912	27.37	23.43	31.31	2.01
	"Imperial County, CA"	"06025"	69	894036	7.72	6.00	9.77	0.93
	"Inyo County, CA"	"06027"	22	91631	24.01	15.05	36.35	5.12
	"Kern County, CA"	"06029"	576	4356685	13.22	12.14	14.30	0.55
	"Kings County, CA"	"06031"	70	751307	9.32	7.26	11.77	1.11
	"Lake County, CA"	"06033"	92	320379	28.72	23.15	35.22	2.99
	"Lassen County, CA"	"06035"	40	159723	25.04	17.89	34.10	3.96
	"Los Angeles County, CA"	"06037"	4051	50285776	8.06	7.81	8.30	0.13
	"Madera County, CA"	"06039"	93	766832	12.13	9.79	14.86	1.26
	"Marin County, CA"	"06041"	192	1296791	14.81	12.71	16.90	1.07
	"Mariposa County, CA"	"06043"	30	88225	34.00	22.94	48.54	6.21
	"Mendocino County, CA"	"06045"	98	437046	22.42	18.20	27.33	2.27
	"Merced County, CA"	"06047"	139	1325003	10.49	8.75	12.23	0.89
	"Modoc County, CA"	"06049"	12	45166	26.57 (Unreliable)	13.73	46.41	7.67
	"Mono County, CA"	"06051"	Suppressed	70256	Suppressed	Suppressed	Suppressed	Suppressed
	"Monterey County, CA"	"06053"	205	2151004	9.53	8.23	10.84	0.67
	"Napa County, CA"	"06055"	84	704117	11.93	9.52	14.77	1.30
	"Nevada County, CA"	"06057"	110	493193	22.30	18.14	26.47	2.13
	"Orange County, CA"	"06059"	1587	15661054	10.13	9.63	10.63	0.25
	"Placer County, CA"	"06061"	240	1852853	12.95	11.31	14.59	0.84
	"Plumas County, CA"	"06063"	27	93772	28.79	18.98	41.89	5.54
	"Riverside County, CA"	"06065"	1272	11619459	10.95	10.35	11.55	0.31
	"Sacramento County, CA"	"06067"	1002	7396500	13.55	12.71	14.39	0.43
	"San Benito County, CA"	"06069"	18	290255	6.20 (Unreliable)	3.68	9.80	1.46
	"San Bernardino County, CA"	"06071"	1065	10533768	10.11	9.50	10.72	0.31
	"San Diego County, CA"	"06073"	2087	16266782	12.83	12.28	13.38	0.28
	"San Francisco County, CA"	"06075"	428	4251411	10.07	9.11	11.02	0.49
	"San Joaquin County, CA"	"06077"	375	3574299	10.49	9.43	11.55	0.54
	"San Luis Obispo County, CA"	"06079"	257	1393402	18.44	16.19	20.70	1.15
	"San Mateo County, CA"	"06081"	300	3773741	7.95	7.05	8.85	0.46
	"Santa Barbara County, CA"	"06083"	273	2196976	12.43	10.95	13.90	0.75
	"Santa Clara County, CA"	"06085"	762	9425280	8.08	7.51	8.66	0.29
	"Santa Cruz County, CA"	"06087"	217	1354654	16.02	13.89	18.15	1.09
	"Shasta County, CA"	"06089"	211	896141	23.55	20.37	26.72	1.62
	"Sierra County, CA"	"06091"	Suppressed	15028	Suppressed	Suppressed	Suppressed	Suppressed
	"Siskiyou County, CA"	"06093"	61	218341	27.94	21.37	35.89	3.58
	"Solano County, CA"	"06095"	257	2147982	11.96	10.50	13.43	0.75
	"Sonoma County, CA"	"06097"	339	2488878	13.62	12.17	15.07	0.74
	"Stanislaus County, CA"	"06099"	276	2652803	10.40	9.18	11.63	0.63
	"Sutter County, CA"	"06101"	79	477028	16.56	13.11	20.64	1.86
	"Tehama County, CA"	"06103"	59	315073	18.73	14.26	24.15	2.44
	"Trinity County, CA"	"06105"	18	65901	27.31 (Unreliable)	16.19	43.17	6.44
	"Tulare County, CA"	"06107"	230	2278845	10.09	8.79	11.40	0.67
	"Tuolumne County, CA"	"06109"	54	269320	20.05	15.06	26.16	2.73
	"Ventura County, CA"	"06111"	491	4215552	11.65	10.62	12.68	0.53
	"Yolo County, CA"	"06113"	107	1048355	10.21	8.27	12.14	0.99
	"Yuba County, CA"	"06115"	60	369484	16.24	12.39	20.90	2.10
	"Adams County, CO"	"08001"	411	2399886	17.13	15.47	18.78	0.84
	"Alamosa County, CO"	"08003"	24	81767	29.35	18.81	43.67	5.99
	"Arapahoe County, CO"	"08005"	551	3088342	17.84	16.35	19.33	0.76
	"Archuleta County, CO"	"08007"	18	61774	29.14 (Unreliable)	17.27	46.05	6.87
	"Baca County, CO"	"08009"	Suppressed	18241	Suppressed	Suppressed	Suppressed	Suppressed
	"Bent County, CO"	"08011"	Suppressed	29082	Suppressed	Suppressed	Suppressed	Suppressed
	"Boulder County, CO"	"08013"	278	1569805	17.71	15.63	19.79	1.06
	"Broomfield County, CO"	"08014"	55	312246	17.61	13.27	22.93	2.38
	"Chaffee County, CO"	"08015"	24	92535	25.94	16.62	38.59	5.29
	"Cheyenne County, CO"	"08017"	Suppressed	9259	Suppressed	Suppressed	Suppressed	Suppressed
	"Clear Creek County, CO"	"08019"	Suppressed	46190	Suppressed	Suppressed	Suppressed	Suppressed
	"Conejos County, CO"	"08021"	10	41066	24.35 (Unreliable)	11.68	44.78	7.70
	"Costilla County, CO"	"08023"	Suppressed	17948	Suppressed	Suppressed	Suppressed	Suppressed
	"Crowley County, CO"	"08025"	Suppressed	27684	Suppressed	Suppressed	Suppressed	Suppressed
	"Custer County, CO"	"08027"	12	21876	54.85 (Unreliable)	28.34	95.82	15.84
	"Delta County, CO"	"08029"	46	151105	30.44	22.29	40.61	4.49
	"Denver County, CO"	"08031"	530	3316513	15.98	14.62	17.34	0.69
	"Dolores County, CO"	"08033"	Suppressed	10040	Suppressed	Suppressed	Suppressed	Suppressed
	"Douglas County, CO"	"08035"	270	1571190	17.18	15.13	19.23	1.05
	"Eagle County, CO"	"08037"	33	264471	12.48	8.59	17.52	2.17
	"Elbert County, CO"	"08039"	30	121127	24.77	16.71	35.36	4.52
	"El Paso County, CO"	"08041"	814	3325855	24.47	22.79	26.16	0.86
	"Fremont County, CO"	"08043"	71	234175	30.32	23.68	38.24	3.60
	"Garfield County, CO"	"08045"	63	287473	21.92	16.84	28.04	2.76
	"Gilpin County, CO"	"08047"	Suppressed	28541	Suppressed	Suppressed	Suppressed	Suppressed
	"Grand County, CO"	"08049"	23	72450	31.75	20.12	47.63	6.62
	"Gunnison County, CO"	"08051"	25	79443	31.47	20.37	46.45	6.29
	"Hinsdale County, CO"	"08053"	Suppressed	3937	Suppressed	Suppressed	Suppressed	Suppressed
	"Huerfano County, CO"	"08055"	12	32604	36.81 (Unreliable)	19.02	64.29	10.62
	"Jackson County, CO"	"08057"	Suppressed	6806	Suppressed	Suppressed	Suppressed	Suppressed
	"Jefferson County, CO"	"08059"	543	2794048	19.43	17.80	21.07	0.83
	"Kiowa County, CO"	"08061"	Suppressed	7051	Suppressed	Suppressed	Suppressed	Suppressed
	"Kit Carson County, CO"	"08063"	10	40869	24.47 (Unreliable)	11.73	45.00	7.74
	"Lake County, CO"	"08065"	12	37006	32.43 (Unreliable)	16.76	56.64	9.36
	"La Plata County, CO"	"08067"	55	269970	20.37	15.35	26.52	2.75
	"Larimer County, CO"	"08069"	354	1626141	21.77	19.50	24.04	1.16
	"Las Animas County, CO"	"08071"	21	71610	29.33	18.15	44.83	6.40
	"Lincoln County, CO"	"08073"	Suppressed	27573	Suppressed	Suppressed	Suppressed	Suppressed
	"Logan County, CO"	"08075"	21	109311	19.21	11.89	29.37	4.19
	"Mesa County, CO"	"08077"	203	740829	27.40	23.63	31.17	1.92
	"Mineral County, CO"	"08079"	Suppressed	3581	Suppressed	Suppressed	Suppressed	Suppressed
	"Moffat County, CO"	"08081"	18	65170	27.62 (Unreliable)	16.37	43.65	6.51
	"Montezuma County, CO"	"08083"	55	130029	42.30	31.86	55.06	5.70
	"Montrose County, CO"	"08085"	40	204330	19.58	13.99	26.66	3.10
	"Morgan County, CO"	"08087"	24	141442	16.97	10.87	25.25	3.46
	"Otero County, CO"	"08089"	16	92200	17.35 (Unreliable)	9.92	28.18	4.34
	"Ouray County, CO"	"08091"	Suppressed	23257	Suppressed	Suppressed	Suppressed	Suppressed
	"Park County, CO"	"08093"	29	82198	35.28	23.63	50.67	6.55
	"Phillips County, CO"	"08095"	Suppressed	21733	Suppressed	Suppressed	Suppressed	Suppressed
	"Pitkin County, CO"	"08097"	14	87713	15.96 (Unreliable)	8.73	26.78	4.27
	"Prowers County, CO"	"08099"	15	60605	24.75 (Unreliable)	13.85	40.82	6.39
	"Pueblo County, CO"	"08101"	189	810790	23.31	19.99	26.63	1.70
	"Rio Blanco County, CO"	"08103"	12	33289	36.05 (Unreliable)	18.63	62.97	10.41
	"Rio Grande County, CO"	"08105"	15	58114	25.81 (Unreliable)	14.45	42.57	6.66
	"Routt County, CO"	"08107"	29	119899	24.19	16.20	34.74	4.49
	"Saguache County, CO"	"08109"	12	31273	38.37 (Unreliable)	19.83	67.03	11.08
	"San Juan County, CO"	"08111"	Suppressed	3491	Suppressed	Suppressed	Suppressed	Suppressed
	"San Miguel County, CO"	"08113"	Suppressed	38835	Suppressed	Suppressed	Suppressed	Suppressed
	"Sedgwick County, CO"	"08115"	Suppressed	11836	Suppressed	Suppressed	Suppressed	Suppressed
	"Summit County, CO"	"08117"	35	146347	23.92	16.66	33.26	4.04
	"Teller County, CO"	"08119"	42	117362	35.79	25.79	48.37	5.52
	"Washington County, CO"	"08121"	Suppressed	24070	Suppressed	Suppressed	Suppressed	Suppressed
	"Weld County, CO"	"08123"	257	1390327	18.48	16.22	20.74	1.15
	"Yuma County, CO"	"08125"	Suppressed	50752	Suppressed	Suppressed	Suppressed	Suppressed
	"Fairfield County, CT"	"09001"	394	4708089	8.37	7.54	9.19	0.42
	"Hartford County, CT"	"09003"	436	4478496	9.74	8.82	10.65	0.47
	"Litchfield County, CT"	"09005"	130	925704	14.04	11.63	16.46	1.23
	"Middlesex County, CT"	"09007"	84	822192	10.22	8.15	12.65	1.11
	"New Haven County, CT"	"09009"	448	4304371	10.41	9.44	11.37	0.49
	"New London County, CT"	"09011"	181	1360165	13.31	11.37	15.25	0.99
	"Tolland County, CT"	"09013"	95	758447	12.53	10.13	15.31	1.29
	"Windham County, CT"	"09015"	90	585389	15.37	12.36	18.90	1.62
	"Kent County, DE"	"10001"	120	857371	14.00	11.49	16.50	1.28
	"New Castle County, DE"	"10003"	343	2759987	12.43	11.11	13.74	0.67
	"Sussex County, DE"	"10005"	151	1056119	14.30	12.02	16.58	1.16
	"District of Columbia, DC"	"11001"	201	3295044	6.10	5.26	6.94	0.43
